,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
0,hr1-107,1,1,1,1,0,0,1
1,hr2269-107,1,1,0,1,0,0,1
2,hr3112-107,1,0,0,0,0,0,0
3,hr3762-107,1,1,1,1,0,0,1
4,hr5653-107,1,0,0,0,0,0,0
5,hr5716-107,1,0,0,0,0,0,1
6,hr626-107,1,0,0,1,0,0,0
7,hr627-107,1,0,0,1,0,0,0
8,hr100-107,1,0,0,1,0,0,1
9,hr101-107,1,0,0,0,0,0,0
10,hr102-107,1,0,0,0,0,0,0
11,hr1070-107,1,1,0,1,0,0,1
12,hr1608-107,0,0,0,0,0,0,0
13,hr1860-107,1,0,0,1,0,0,1
14,hr2275-107,1,0,1,0,0,0,1
15,hr3466-107,1,0,0,0,0,0,0
16,hr4791-107,1,0,0,0,0,0,0
17,hr5395-107,1,0,0,0,0,0,0
18,hr64-107,1,0,0,0,0,0,1
19,hr66-107,0,0,0,0,0,0,0
20,hr1001-107,1,0,0,0,1,0,0
21,hr1085-107,0,0,0,0,1,0,0
22,hr2085-107,1,0,0,0,1,0,0
23,hr2161-107,1,0,0,0,1,0,0
24,hr2412-107,1,0,0,0,1,0,0
25,hr297-107,0,0,0,0,1,0,0
26,hr2976-107,1,0,0,0,1,0,1
27,hr3558-107,1,0,0,0,1,0,1
28,hr3813-107,1,0,0,0,1,0,1
29,hr3858-107,0,0,0,0,1,0,1
30,hr4235-107,1,0,0,0,1,0,0
31,hr4748-107,1,0,0,0,1,0,0
32,hr5155-107,1,0,0,0,1,0,0
33,hr517-107,0,0,0,0,1,0,0
34,hr1003-107,1,0,0,0,0,0,0
35,hr1689-107,1,0,0,0,0,0,0
36,hr1880-107,0,0,0,1,0,0,0
37,hr3522-107,1,0,0,1,0,0,0
38,hr3953-107,1,0,0,0,0,0,0
39,hr5192-107,1,0,0,0,0,0,0
40,hr5193-107,1,0,0,1,0,0,1
41,hr5232-107,0,0,0,1,0,0,0
42,hr5308-107,1,0,0,0,0,0,1
43,hr1005-107,1,0,0,1,1,0,0
44,hr1280-107,1,0,0,0,1,0,0
45,hr179-107,1,0,0,0,1,0,0
46,hr1819-107,1,0,0,0,1,0,0
47,hr2711-107,1,0,0,0,1,0,0
48,hr3000-107,1,0,0,0,1,0,0
49,hr301-107,1,0,0,0,1,0,0
50,hr302-107,1,0,0,0,1,0,0
51,hr3390-107,1,0,0,0,1,0,0
52,hr3498-107,1,0,0,0,1,0,0
53,hr478-107,1,0,0,0,1,0,0
54,hr479-107,1,0,0,0,1,0,0
55,hr480-107,1,0,0,0,1,0,0
56,hr4897-107,1,0,0,0,1,0,0
57,hr4898-107,0,0,0,0,1,0,0
58,hr5178-107,1,0,0,0,1,0,0
59,hr5541-107,1,0,0,0,1,0,0
60,hr1006-107,0,0,0,0,1,0,0
61,hr1007-107,1,0,0,1,1,0,1
62,hr1032-107,1,0,0,0,1,0,0
63,hr1373-107,0,0,0,1,1,0,0
64,hr1374-107,1,0,0,0,1,0,1
65,hr1375-107,1,0,0,0,1,0,0
66,hr1633-107,0,0,0,0,1,0,0
67,hr1634-107,0,0,0,0,1,0,0
68,hr1635-107,1,0,0,0,1,0,0
69,hr2038-107,1,0,0,1,1,0,0
70,hr2167-107,1,0,0,1,1,0,0
71,hr2495-107,0,0,0,0,1,0,0
72,hr2577-107,1,0,0,1,1,0,1
73,hr3249-107,0,0,0,0,1,0,0
74,hr3370-107,1,0,0,0,1,0,1
75,hr3829-107,1,0,0,0,1,0,0
76,hr4077-107,0,0,0,0,1,0,0
77,hr4161-107,1,0,0,0,1,0,0
78,hr4899-107,1,0,0,0,1,0,0
79,hr5154-107,0,0,0,0,1,0,0
80,hr5236-107,0,0,0,0,1,0,0
81,hr5393-107,0,0,0,0,1,0,0
82,hr550-107,1,0,0,0,1,0,0
83,hr551-107,1,0,0,0,1,0,0
84,hr5562-107,1,0,0,1,1,0,0
85,hr5686-107,0,0,0,0,1,0,0
86,hr709-107,1,0,0,0,1,0,0
87,hr763-107,0,0,0,0,1,0,0
88,hr764-107,1,0,0,0,1,0,0
89,hr851-107,0,0,0,0,1,0,0
90,hr1008-107,1,0,0,1,0,0,0
91,hr1039-107,1,0,0,0,0,0,0
92,hr2123-107,1,0,0,0,0,0,0
93,hr2206-107,1,0,0,0,0,0,0
94,hr3089-107,1,0,0,0,0,0,0
95,hr3387-107,0,0,0,0,0,0,0
96,hr5602-107,1,0,0,0,0,0,0
97,hr1011-107,1,0,0,0,0,0,0
98,hr1045-107,1,0,0,0,0,0,0
99,hr1137-107,1,0,0,0,0,0,0
100,hr1742-107,0,0,0,0,0,0,0
101,hr2092-107,0,0,0,0,0,0,0
102,hr2983-107,1,0,0,0,0,0,1
103,hr3224-107,1,0,0,1,0,0,0
104,hr3691-107,0,0,0,1,0,0,0
105,hr3889-107,1,0,0,0,0,0,0
106,hr4079-107,0,0,0,0,0,0,0
107,hr4080-107,0,0,0,0,0,0,0
108,hr4164-107,0,0,0,0,0,0,0
109,hr4215-107,0,0,0,0,0,0,0
110,hr4539-107,0,0,0,0,0,0,0
111,hr5355-107,0,0,0,0,0,0,0
112,hr5427-107,1,0,0,1,0,0,1
113,hr5580-107,1,0,0,0,0,0,0
114,hr5741-107,0,0,0,0,0,0,0
115,hr718-107,1,0,1,0,0,0,1
116,hr1012-107,1,0,0,1,0,0,0
117,hr1535-107,1,0,0,1,0,0,0
118,hr1766-107,1,0,0,0,0,0,1
119,hr1767-107,1,0,0,0,0,0,0
120,hr2244-107,1,0,0,0,0,0,0
121,hr2500-107,0,1,1,1,0,0,1
122,hr391-107,1,0,0,0,0,0,0
123,hr4943-107,1,0,0,1,0,0,0
124,hr4944-107,1,0,0,1,0,0,1
125,hr903-107,1,0,0,0,0,0,0
126,hr1013-107,1,0,0,1,0,0,0
127,hr1171-107,1,0,0,0,0,0,0
128,hr1867-107,0,0,0,0,0,0,0
129,hr2381-107,1,0,0,0,0,0,0
130,hr2850-107,1,0,0,0,0,0,0
131,hr3360-107,1,0,0,0,0,0,0
132,hr535-107,1,0,0,0,0,0,0
133,hr5508-107,1,0,0,0,0,0,0
134,hr1014-107,1,0,0,0,1,0,0
135,hr1300-107,1,0,0,0,1,0,0
136,hr1709-107,0,0,0,0,1,0,0
137,hr2721-107,1,0,0,1,1,0,0
138,hr4126-107,0,0,0,0,1,0,0
139,hr4590-107,1,0,0,0,1,0,0
140,hr5216-107,1,0,0,0,1,0,0
141,hr5362-107,0,0,0,0,1,0,0
142,hr5604-107,1,0,0,0,1,0,1
143,hr1019-107,1,0,0,0,0,0,0
144,hr1169-107,1,0,0,0,0,0,0
145,hr2252-107,1,0,0,0,0,0,0
146,hr2456-107,1,0,0,1,0,0,1
147,hr2547-107,1,0,0,0,0,0,0
148,hr3021-107,1,0,0,0,0,0,0
149,hr327-107,1,1,0,1,0,0,1
150,hr3475-107,1,0,0,0,0,0,0
151,hr3741-107,1,0,0,0,0,0,0
152,hr3843-107,1,0,0,0,0,0,0
153,hr3893-107,1,0,0,0,0,0,0
154,hr3921-107,1,0,0,0,0,0,1
155,hr4694-107,1,0,0,0,0,0,0
156,hr494-107,1,0,0,0,0,0,0
157,hr5131-107,1,0,0,0,0,0,0
158,hr5213-107,1,0,0,0,0,0,0
159,hr5715-107,1,0,0,0,0,0,0
160,hr1020-107,1,0,0,1,0,0,1
161,hr1418-107,1,0,0,1,0,0,0
162,hr157-107,1,0,0,0,0,0,0
163,hr1666-107,1,0,0,0,0,0,0
164,hr1945-107,1,0,0,0,0,0,0
165,hr2064-107,1,0,0,0,0,0,0
166,hr2111-107,1,0,0,0,0,0,0
167,hr2455-107,0,0,0,0,0,0,0
168,hr2913-107,0,0,0,0,0,0,0
169,hr3986-107,1,0,1,1,0,0,1
170,hr4894-107,1,0,0,1,0,0,0
171,hr5152-107,1,0,0,1,0,0,0
172,hr546-107,0,0,0,1,0,0,0
173,hr1021-107,1,0,0,0,0,0,0
174,hr1748-107,1,0,0,0,0,0,1
175,hr2566-107,1,0,0,0,0,0,0
176,hr257-107,1,0,0,0,0,0,0
177,hr3133-107,0,0,0,0,0,0,0
178,hr3624-107,1,0,0,0,0,0,0
179,hr4903-107,1,0,0,0,0,0,1
180,hr5075-107,1,0,0,0,0,0,0
181,hr5322-107,1,0,0,0,0,0,0
182,hr1022-107,0,1,0,0,0,0,1
183,hr1444-107,1,0,0,0,0,0,0
184,hr2301-107,1,0,0,0,0,0,1
185,hr2548-107,0,0,0,0,0,0,0
186,hr3386-107,0,0,0,0,0,0,0
187,hr434-107,1,0,0,0,0,0,1
188,hr4589-107,1,0,0,0,0,0,0
189,hr5198-107,0,0,0,0,0,0,0
190,hr5222-107,1,0,0,0,0,0,0
191,hr1023-107,1,0,0,0,0,0,0
192,hr1089-107,1,0,0,0,0,0,0
193,hr1231-107,1,0,0,0,0,0,0
194,hr1303-107,1,0,0,0,0,0,0
195,hr1581-107,1,0,0,0,0,0,0
196,hr1677-107,1,0,0,0,0,0,0
197,hr1711-107,1,0,0,1,0,0,0
198,hr1797-107,1,0,0,0,0,0,0
199,hr1798-107,1,0,0,0,0,0,0
200,hr2383-107,1,0,0,0,0,0,0
201,hr2549-107,1,0,0,0,0,0,0
202,hr2631-107,1,0,0,0,0,0,0
203,hr2749-107,1,0,0,0,0,0,0
204,hr3575-107,0,0,0,0,0,0,0
205,hr5113-107,1,0,0,0,0,0,0
206,hr5174-107,1,0,0,0,0,0,0
