,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
0,s10-107,1,0,0,0,1,0,0
1,s1028-107,1,0,0,0,1,0,1
2,s1378-107,1,0,0,1,1,0,0
3,s1389-107,1,1,0,0,1,0,1
4,s1426-107,1,0,1,1,1,0,1
5,s1450-107,1,0,1,1,1,0,1
6,s1510-107,1,1,1,1,1,0,1
7,s16-107,1,0,1,0,1,0,0
8,s17-107,1,0,1,0,1,0,0
9,s1732-107,0,0,1,0,1,0,1
10,s1763-107,1,0,0,0,1,0,0
11,s1766-107,1,0,1,1,1,0,1
12,s1787-107,1,0,0,0,1,0,0
13,s18-107,1,0,0,1,1,0,0
14,s19-107,1,0,0,0,1,0,0
15,s20-107,1,0,0,0,1,0,0
16,s21-107,1,0,1,1,1,0,0
17,s2207-107,1,0,0,0,1,0,0
18,s2493-107,1,0,1,0,1,0,0
19,s2578-107,0,0,1,1,1,0,1
20,s2788-107,0,0,0,0,1,0,1
21,s3016-107,1,0,0,0,1,0,0
22,s3036-107,1,0,0,0,1,0,0
23,s3099-107,0,0,0,1,1,0,1
24,s318-107,1,0,1,0,1,0,0
25,s340-107,1,0,0,1,1,0,0
26,s434-107,1,0,0,1,1,0,1
27,s493-107,1,0,0,0,1,0,0
28,s550-107,1,0,0,0,1,0,0
29,s6-107,1,0,0,0,1,0,0
30,s629-107,1,0,0,0,1,0,0
31,s670-107,1,0,0,0,1,0,0
32,s7-107,1,0,0,0,1,0,0
33,s77-107,1,0,0,0,1,0,0
34,s8-107,1,0,1,0,1,0,0
35,s9-107,1,0,1,0,1,0,0
36,s100-107,0,0,0,0,0,0,1
37,s1146-107,0,0,0,1,0,0,0
38,s1224-107,1,0,0,0,0,0,0
39,s1368-107,1,0,0,0,0,0,0
40,s1620-107,0,0,0,0,0,0,0
41,s1839-107,1,0,0,1,0,0,0
42,s2501-107,1,0,0,0,0,0,0
43,s2523-107,0,0,0,0,0,0,0
44,s2560-107,1,0,0,0,0,0,0
45,s2574-107,1,0,0,1,0,0,0
46,s2584-107,1,0,0,0,0,0,0
47,s2786-107,0,0,0,1,0,0,0
48,s2905-107,0,0,0,0,0,0,0
49,s2979-107,1,0,0,0,0,0,0
50,s345-107,1,0,0,1,0,0,0
51,s381-107,1,0,0,0,0,0,0
52,s425-107,1,0,0,0,0,0,0
53,s465-107,1,0,0,0,0,0,0
54,s559-107,0,0,0,1,0,0,0
55,s607-107,1,0,0,0,0,0,0
56,s736-107,1,0,0,0,0,0,0
57,s903-107,0,0,0,1,0,0,0
58,s936-107,1,0,0,0,0,0,0
59,s983-107,0,0,0,0,0,0,0
60,s996-107,0,0,0,0,0,0,0
61,s1002-107,1,0,0,0,0,0,0
62,s1023-107,1,0,0,1,0,0,0
63,s104-107,1,0,0,1,0,0,0
64,s1108-107,1,0,0,1,0,0,0
65,s1177-107,1,0,0,0,0,0,0
66,s1183-107,1,0,0,0,0,0,0
67,s119-107,1,0,0,0,0,0,0
68,s1251-107,1,0,0,0,0,0,0
69,s1289-107,1,0,0,0,0,0,0
70,s1345-107,1,0,0,1,0,0,0
71,s1455-107,1,0,0,0,0,0,0
72,s1462-107,0,0,0,0,0,0,0
73,s1489-107,1,0,0,0,0,0,0
74,s1490-107,1,0,0,0,0,0,0
75,s1491-107,1,0,0,0,0,0,0
76,s1557-107,0,0,0,0,0,0,0
77,s1559-107,0,0,0,0,0,0,0
78,s1657-107,0,0,0,0,0,0,0
79,s1725-107,0,0,0,0,0,0,0
80,s1726-107,1,0,0,0,0,0,0
81,s1728-107,0,0,1,0,0,0,0
82,s1813-107,0,0,0,0,0,0,0
83,s182-107,1,0,0,0,0,0,0
84,s183-107,0,0,0,0,0,0,0
85,s187-107,1,0,0,0,0,0,0
86,s1873-107,1,0,0,0,0,0,0
87,s1887-107,0,0,0,1,0,0,0
88,s1995-107,1,0,1,0,0,0,0
89,s222-107,0,0,0,0,0,0,0
90,s226-107,1,0,0,0,0,0,0
91,s255-107,1,0,0,0,0,0,0
92,s2552-107,1,0,0,0,0,0,0
93,s256-107,1,0,0,0,0,0,0
94,s257-107,0,0,0,0,0,0,0
95,s258-107,1,0,0,0,0,0,0
96,s261-107,1,0,0,0,0,0,0
97,s263-107,1,0,0,0,0,0,0
98,s264-107,1,0,0,0,0,0,0
99,s2647-107,1,0,0,0,0,0,0
100,s2656-107,0,0,0,0,0,0,0
101,s2858-107,1,0,0,0,0,0,0
102,s2859-107,1,0,0,0,0,0,0
103,s2938-107,0,0,0,0,0,0,0
104,s2940-107,0,0,0,0,0,0,0
105,s2972-107,1,0,0,0,0,0,0
106,s328-107,1,0,0,0,0,0,1
107,s382-107,1,0,1,0,0,0,0
108,s383-107,0,0,0,0,0,0,0
109,s384-107,0,0,0,0,0,0,0
110,s456-107,1,0,0,0,0,0,0
111,s457-107,1,0,0,0,0,0,0
112,s484-107,1,0,0,0,0,0,0
113,s511-107,0,0,0,0,0,0,0
114,s516-107,0,0,0,0,0,0,0
115,s637-107,1,0,0,0,0,0,0
116,s666-107,1,0,0,0,0,0,0
117,s714-107,1,0,0,0,0,0,0
118,s833-107,1,0,0,0,0,0,0
119,s841-107,1,0,0,0,0,0,0
120,s913-107,1,0,1,1,0,0,0
121,s918-107,1,0,0,0,0,0,0
122,s93-107,1,0,0,0,0,0,0
123,s946-107,1,0,0,1,0,0,0
124,s951-107,1,0,0,1,0,0,1
125,s1007-107,1,0,0,0,1,0,0
126,s1043-107,0,0,0,0,1,0,0
127,s1139-107,0,0,0,1,1,0,0
128,s1149-107,1,0,0,0,1,0,0
129,s1151-107,1,0,0,0,1,0,0
130,s1171-107,0,0,0,1,1,0,1
131,s1257-107,1,0,0,0,1,0,0
132,s1310-107,1,0,0,1,1,0,0
133,s1451-107,1,0,0,1,1,0,1
134,s1564-107,0,0,0,0,1,0,1
135,s1566-107,1,0,0,0,1,0,0
136,s1596-107,0,0,0,0,1,0,0
137,s1601-107,1,0,0,1,1,0,1
138,s170-107,1,0,0,1,1,0,0
139,s1727-107,1,0,0,0,1,0,0
140,s1746-107,1,0,0,0,1,0,1
141,s1939-107,1,0,0,1,1,0,0
142,s1975-107,1,0,0,0,1,0,0
143,s199-107,0,0,0,1,1,0,0
144,s200-107,1,0,1,1,1,0,0
145,s2051-107,1,0,0,0,1,0,0
146,s2333-107,0,0,0,0,1,0,0
147,s241-107,0,0,1,0,1,0,0
148,s249-107,1,0,0,0,1,0,0
149,s2562-107,1,0,0,1,1,0,0
150,s2594-107,1,0,0,1,1,0,1
151,s2612-107,1,0,0,1,1,0,1
152,s2697-107,1,0,0,1,1,0,0
153,s2781-107,1,0,0,0,1,0,0
154,s2784-107,0,0,1,1,1,0,1
155,s503-107,1,0,0,1,1,0,0
156,s562-107,1,0,0,0,1,0,0
157,s691-107,1,0,0,1,1,0,1
158,s737-107,1,0,0,1,1,0,1
159,s809-107,1,0,0,1,1,0,0
160,s825-107,1,0,1,0,1,0,0
161,s863-107,0,0,0,0,1,0,0
162,s866-107,1,0,0,1,1,0,0
163,s893-107,1,0,0,0,1,0,0
164,s958-107,1,0,0,0,1,0,1
165,s1008-107,1,0,0,0,1,0,1
166,s1077-107,0,1,0,1,1,0,1
167,s2551-107,0,0,1,1,1,0,1
168,s2708-107,0,0,1,1,1,0,1
169,s60-107,1,0,0,0,1,0,0
170,s639-107,1,0,0,0,1,0,0
171,s1009-107,1,0,0,0,0,0,0
172,s1037-107,1,0,0,1,0,0,0
173,s1094-107,1,0,0,1,0,0,1
174,s11-107,1,0,0,0,0,0,0
175,s1199-107,1,0,0,0,0,0,0
176,s1421-107,1,0,1,0,0,0,0
177,s1427-107,0,0,0,0,0,0,0
178,s1513-107,1,0,0,0,0,0,0
179,s1563-107,1,0,0,0,0,0,0
180,s1573-107,1,1,1,1,0,0,1
181,s1577-107,0,0,0,1,0,0,0
182,s175-107,0,0,0,0,0,0,0
183,s176-107,0,0,0,0,0,0,0
184,s1809-107,0,0,0,1,0,0,0
185,s1878-107,1,0,0,0,0,0,0
186,s1921-107,1,0,1,0,0,0,0
187,s205-107,1,0,0,0,0,0,0
188,s2078-107,1,0,0,0,0,0,0
189,s2123-107,0,0,0,0,0,0,0
190,s2124-107,0,0,0,0,0,0,0
191,s2125-107,0,0,0,0,0,0,0
192,s2126-107,0,0,0,0,0,0,0
193,s2458-107,1,0,0,0,0,0,0
194,s2509-107,1,0,0,0,0,0,0
195,s2620-107,1,0,1,0,0,0,0
196,s2668-107,1,0,0,0,0,0,0
197,s2742-107,1,0,0,1,0,0,0
198,s2896-107,1,0,1,1,0,0,1
199,s2948-107,0,0,0,0,0,0,0
200,s353-107,1,0,0,0,0,0,0
201,s40-107,1,0,0,0,0,0,0
202,s409-107,1,0,0,0,0,0,0
203,s527-107,1,0,0,1,0,0,0
204,s605-107,1,0,0,0,0,0,0
205,s633-107,1,0,0,0,0,0,1
206,s744-107,1,0,0,0,0,0,0
207,s839-107,1,0,0,1,0,0,0
208,s939-107,0,0,0,0,0,0,0
209,s101-107,0,0,0,0,1,0,0
210,s1016-107,1,0,0,0,1,0,0
211,s102-107,1,0,0,0,1,0,0
212,s103-107,1,0,0,0,1,0,0
213,s1118-107,1,0,0,0,1,0,0
